
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","St",120,5,20," ",0.0,0,0.0,0.0,89,131," ",0,0,0,0.0
" ","St",120,5,40," ",0.0,0,0.0,0.0,160,140," ",0,0,0,0.0
" ","St",120,7,5," ",0.0,0,0.0,0.0,46,32," ",0,0,0,0.0
" ","St",120,7,10," ",0.0,0,0.0,0.0,71,61," ",0,0,0,0.0
" ","St",120,7,20," ",0.0,0,0.0,0.0,90,131," ",0,0,0,0.0
" ","St",120,7,40," ",0.0,0,0.0,0.0,145,176," ",0,0,0,0.0
" ","mv",60,3,5," ",0.0,0,0.0,0.0,52,50," ",0,0,0,0.0
" ","mv",60,3,10," ",0.0,0,0.0,0.0,93,102," ",0,0,0,0.0
" ","mv",60,3,20," ",0.0,0,0.0,0.0,147,202," ",0,0,0,0.0
" ","mv",60,3,40," ",0.0,0,0.0,0.0,221,361," ",0,0,0,0.0
" ","mv",60,5,5," ",0.0,0,0.0,0.0,50,54," ",0,0,0,0.0
" ","mv",60,5,10," ",0.0,0,0.0,0.0,87,100," ",0,0,0,0.0
" ","mv",60,5,20," ",0.0,0,0.0,0.0,129,190," ",0,0,0,0.0
" ","mv",60,5,40," ",0.0,0,0.0,0.0,190,415," ",0,0,0,0.0
" ","mv",60,7,5," ",0.0,0,0.0,0.0,44,55," ",0,0,0,0.0
" ","mv",60,7,10," ",0.0,0,0.0,0.0,80,101," ",0,0,0,0.0
" ","mv",60,7,20," ",0.0,0,0.0,0.0,123,207," ",0,0,0,0.0
" ","mv",60,7,40," ",0.0,0,0.0,0.0,163,467," ",0,0,0,0.0

" *** ","mv",80,0,0," ",2556.5,404,7.8,3.3,0,0," ",0.0,0,0.0,0.0
" ","mv",80,3,5," ",0.0,0,0.0,0.0,52,50," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,3,10," ",0.0,0,0.0,0.0,80,90," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,3,20," ",0.0,0,0.0,0.0,119,160," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,3,40," ",0.0,0,0.0,0.0,189,264," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,5,5," ",0.0,0,0.0,0.0,44,52," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,5,10," ",0.0,0,0.0,0.0,71,96," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,5,20," ",0.0,0,0.0,0.0,93,199," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,5,40," ",0.0,0,0.0,0.0,140,358," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,7,5," ",0.0,0,0.0,0.0,47,49," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,7,10," ",0.0,0,0.0,0.0,67,102," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,7,20," ",0.0,0,0.0,0.0,86,214," ",-2556.5,-404,-7.8,-3.3
" ","mv",80,7,40," ",0.0,0,0.0,0.0,125,416," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,3,5," ",0.0,0,0.0,0.0,46,58," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,3,10," ",0.0,0,0.0,0.0,66,109," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,3,20," ",0.0,0,0.0,0.0,92,161," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,3,40," ",0.0,0,0.0,0.0,159,246," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,5,5," ",0.0,0,0.0,0.0,40,56," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,5,10," ",0.0,0,0.0,0.0,57,116," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,5,20," ",0.0,0,0.0,0.0,80,200," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,5,40," ",0.0,0,0.0,0.0,122,305," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,7,5," ",0.0,0,0.0,0.0,37,52," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,7,10," ",0.0,0,0.0,0.0,45,118," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,7,20," ",0.0,0,0.0,0.0,73,193," ",-2556.5,-404,-7.8,-3.3
" ","mv",100,7,40," ",0.0,0,0.0,0.0,110,372," ",-2556.5,-404,-7.8,-3.3
" ","mv",120,3,5," ",0.0,0,0.0,0.0,43,52," ",-2556.5,-404,-7.8,-3.3
" ","mv",120,3,10," ",0.0,0,0.0,0.0,64,92," ",-2556.5,-404,-7.8,-3.3
" ","mv",120,3,20," ",0.0,0,0.0,0.0,82,136," ",-2556.5,-404,-7.8,-3.3
" ","mv",120,3,40," ",0.0,0,0.0,0.0,143,184," ",-2556.5,-404,-7.8,-3.3
